-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 03/31/2025 in LST
Location: Latitude  -16.4333   Longitude -71.5617 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3330.29 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M      MERRA-2 Temperature at 2 Meters (C) 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M
2020,1,1,0,7.06,84.79
2020,1,1,1,6.87,83.73
2020,1,1,2,6.72,83.33
2020,1,1,3,6.56,83.13
2020,1,1,4,6.47,81.63
2020,1,1,5,7.02,75.91
2020,1,1,6,10.13,55.24
2020,1,1,7,13.18,42.43
2020,1,1,8,15.88,36.84
2020,1,1,9,17.77,34.06
2020,1,1,10,18.72,33.74
2020,1,1,11,18.72,35.86
2020,1,1,12,18.03,39.38
2020,1,1,13,16.89,44.64
2020,1,1,14,15.69,50.01
2020,1,1,15,14.11,57.06
2020,1,1,16,12.52,64.15
2020,1,1,17,10.84,72.16
2020,1,1,18,9.32,81.0
2020,1,1,19,8.78,83.49
2020,1,1,20,8.54,82.94
2020,1,1,21,8.29,83.39
2020,1,1,22,8.05,84.33
2020,1,1,23,7.89,84.56
2020,1,2,0,7.76,84.5
2020,1,2,1,7.47,86.01
2020,1,2,2,7.19,87.75
2020,1,2,3,6.91,89.45
2020,1,2,4,6.74,89.97
2020,1,2,5,7.02,87.76
2020,1,2,6,9.42,73.48
2020,1,2,7,12.58,59.49
2020,1,2,8,15.26,49.73
2020,1,2,9,17.02,45.16
2020,1,2,10,17.62,45.09
2020,1,2,11,17.24,48.39
2020,1,2,12,16.17,53.8
2020,1,2,13,14.76,60.32
2020,1,2,14,13.33,66.62
2020,1,2,15,11.81,72.76
2020,1,2,16,10.4,78.65
2020,1,2,17,9.04,84.24
2020,1,2,18,8.15,87.85
2020,1,2,19,8.02,86.97
2020,1,2,20,8.16,84.66
2020,1,2,21,8.31,82.42
2020,1,2,22,8.3,81.65
2020,1,2,23,7.93,84.18
2020,1,3,0,7.51,87.94
2020,1,3,1,7.34,90.2
2020,1,3,2,7.19,92.08
2020,1,3,3,7.1,92.77
2020,1,3,4,7.04,93.21
2020,1,3,5,7.24,91.58
2020,1,3,6,9.15,76.99
2020,1,3,7,12.27,60.49
2020,1,3,8,15.08,50.32
2020,1,3,9,17.23,44.63
2020,1,3,10,18.45,42.91
2020,1,3,11,18.49,45.11
2020,1,3,12,17.67,49.77
2020,1,3,13,16.51,55.18
2020,1,3,14,15.23,60.64
2020,1,3,15,13.97,65.91
2020,1,3,16,12.6,72.01
2020,1,3,17,11.19,79.32
2020,1,3,18,9.95,86.32
2020,1,3,19,9.15,89.01
2020,1,3,20,8.72,88.5
2020,1,3,21,8.72,86.79
2020,1,3,22,8.52,86.27
2020,1,3,23,8.34,86.06
2020,1,4,0,8.28,86.33
2020,1,4,1,8.23,87.65
2020,1,4,2,8.17,89.19
2020,1,4,3,8.06,89.56
2020,1,4,4,7.86,89.69
2020,1,4,5,8.01,87.19
2020,1,4,6,9.32,77.95
2020,1,4,7,11.59,67.39
2020,1,4,8,13.9,57.77
2020,1,4,9,15.89,51.1
2020,1,4,10,17.09,48.73
2020,1,4,11,17.13,50.99
2020,1,4,12,16.39,55.65
2020,1,4,13,15.39,60.75
2020,1,4,14,14.32,65.46
2020,1,4,15,13.12,70.61
2020,1,4,16,11.75,76.39
2020,1,4,17,10.07,84.67
2020,1,4,18,8.97,89.82
2020,1,4,19,8.57,90.6
2020,1,4,20,8.27,91.12
2020,1,4,21,8.08,91.42
2020,1,4,22,7.89,91.55
2020,1,4,23,7.62,92.44
2020,1,5,0,7.49,92.98
2020,1,5,1,7.2,94.8
2020,1,5,2,7.08,94.68
2020,1,5,3,6.76,96.02
2020,1,5,4,6.43,95.9
2020,1,5,5,6.27,94.87
2020,1,5,6,7.99,80.09
2020,1,5,7,10.6,62.56
2020,1,5,8,13.11,48.85
2020,1,5,9,14.8,42.98
2020,1,5,10,15.85,41.38
2020,1,5,11,16.25,42.45
2020,1,5,12,15.93,45.9
2020,1,5,13,15.18,49.98
2020,1,5,14,14.01,54.71
2020,1,5,15,12.57,59.95
2020,1,5,16,10.92,66.2
2020,1,5,17,9.07,73.85
2020,1,5,18,7.32,82.38
2020,1,5,19,6.33,86.97
2020,1,5,20,5.53,89.67
2020,1,5,21,4.87,89.08
2020,1,5,22,4.4,83.63
2020,1,5,23,4.13,76.07
2020,1,6,0,3.96,68.81
2020,1,6,1,3.81,64.44
2020,1,6,2,3.57,62.46
2020,1,6,3,3.42,59.74
2020,1,6,4,3.39,55.93
2020,1,6,5,3.78,53.06
2020,1,6,6,7.29,40.53
2020,1,6,7,10.37,34.04
2020,1,6,8,12.9,29.82
2020,1,6,9,14.94,27.92
2020,1,6,10,16.28,28.34
2020,1,6,11,16.87,30.83
2020,1,6,12,17.07,34.03
2020,1,6,13,16.89,37.54
