YEAR,MO,DY,HR,T2M,RH2M
2020,1,1,0,0.3163383545770568,0.8447008372472943
2020,1,1,1,0.3089996137504828,0.8338778844190321
2020,1,1,2,0.3032058709926612,0.8297937512762916
2020,1,1,3,0.29702587871765157,0.8277516847049213
2020,1,1,4,0.29354963306295867,0.8124361854196446
2020,1,1,5,0.3147933565083043,0.7540330814784562
2020,1,1,6,0.4349169563538046,0.5429855013273432
2020,1,1,7,0.552723059096176,0.4121911374310802
2020,1,1,8,0.6570104287369641,0.35511537676128246
2020,1,1,9,0.7300115874855155,0.3267306514192363
2020,1,1,10,0.7667052916183854,0.32346334490504397
2020,1,1,11,0.7667052916183854,0.34510925056156827
2020,1,1,12,0.7400540749324063,0.3810496222176843
2020,1,1,13,0.6960216299729625,0.43475597304472124
2020,1,1,14,0.6496716879103901,0.4895854604860118
2020,1,1,15,0.5886442641946696,0.5615683071268124
2020,1,1,16,0.5272305909617613,0.6339595670818869
2020,1,1,17,0.46234067207415985,0.7157443332652644
2020,1,1,18,0.40363074546156813,0.8060036757198284
2020,1,1,19,0.38277327153341056,0.8314274045333877
2020,1,1,20,0.37350328312089603,0.8258117214621197
2020,1,1,21,0.36384704519119343,0.8304063712477027
2020,1,1,22,0.354577056778679,0.8400040841331428
2020,1,1,23,0.34839706450366936,0.8423524606902185
2020,1,2,0,0.34337582078022405,0.8417398407188075
2020,1,2,1,0.332174584781769,0.8571574433326526
2020,1,2,2,0.32135959830050215,0.8749234225035736
2020,1,2,3,0.3105446118192352,0.8922809883602205
2020,1,2,4,0.3039783700270375,0.8975903614457831
2020,1,2,5,0.3147933565083043,0.8750255258321422
2020,1,2,6,0.4074932406334492,0.729221972636308
2020,1,2,7,0.52954808806489,0.5863794159689606
2020,1,2,8,0.6330629586713017,0.4867265672860935
2020,1,2,9,0.7010428736964078,0.4400653461302838
2020,1,2,10,0.7242178447276941,0.4393506228303043
2020,1,2,11,0.709540363074546,0.473044721257913
2020,1,2,12,0.668211664735419,0.5282826220134776
2020,1,2,13,0.6137504828118965,0.594853992240147
2020,1,2,14,0.5585168018539977,0.6591790892383093
2020,1,2,15,0.499806875241406,0.7218705329793752
2020,1,2,16,0.4453456933178834,0.7820093935062283
2020,1,2,17,0.3928157589803012,0.8390851541760261
2020,1,2,18,0.3584395519505601,0.8759444557892586
2020,1,2,19,0.3534183082271147,0.8669593628752297
2020,1,2,20,0.3588258014677481,0.8433734939759036
2020,1,2,21,0.36461954422556975,0.8205023483765571
2020,1,2,22,0.3642332947083816,0.8126403920767817
2020,1,2,23,0.3499420625724217,0.8384725342046151
2020,1,3,0,0.33371958285052145,0.8768633857463753
2020,1,3,1,0.3271533410583236,0.899938738002859
2020,1,3,2,0.32135959830050215,0.919134163773739
2020,1,3,3,0.3178833526458092,0.9261792934449663
2020,1,3,4,0.3155658555426806,0.9306718399019808
2020,1,3,5,0.3232908458864427,0.9140289973453134
2020,1,3,6,0.39706450366937046,0.7650602409638554
